Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize,Opponent
733000,82.20%,80.24%,0.0100,22.774950192306505,0.6440,25815232,maxbp
734000,84.60%,80.25%,0.0100,22.77183322813471,0.6916,25816515,maxbp
735000,83.20%,80.25%,0.0100,23.367974745696696,0.6640,25817894,maxbp
736000,83.80%,80.26%,0.0100,23.73503390768443,0.6760,25819226,maxbp
737000,83.50%,80.26%,0.0100,24.10867651968452,0.6697,25820625,maxbp
738000,81.80%,80.27%,0.0100,24.432707953916374,0.6359,25822003,maxbp
739000,81.10%,80.27%,0.0100,24.252616576879085,0.6220,25823489,maxbp
740000,83.10%,80.27%,0.0100,23.99861344528355,0.6625,25825155,maxbp
741000,82.40%,80.27%,0.0100,23.40452982320889,0.6479,25826685,maxbp
742000,84.00%,80.28%,0.0100,23.57624973990681,0.6799,25828044,maxbp
743000,83.70%,80.28%,0.0100,22.914032915157694,0.6742,25829350,maxbp
744000,81.80%,80.29%,0.0100,22.93475170630893,0.6361,25830667,maxbp
745000,82.00%,80.29%,0.0100,24.442163211723408,0.6404,25832000,maxbp
746000,82.40%,80.30%,0.0100,24.835385716093377,0.6475,25833392,maxbp
747000,82.70%,80.30%,0.0100,24.67034295710347,0.6538,25834879,maxbp
748000,83.60%,80.30%,0.0100,24.608433049619173,0.6722,25836203,maxbp
749000,82.70%,80.31%,0.0100,24.621542255117912,0.6543,25837567,maxbp
750000,83.70%,80.31%,0.0100,24.10640062996866,0.6739,25838971,maxbp
751000,81.00%,80.31%,0.0100,23.25261019509259,0.6200,25840300,maxbp
752000,81.50%,80.31%,0.0100,23.449063206017303,0.6297,25841699,maxbp
753000,84.50%,80.32%,0.0100,22.752515262224733,0.6905,25843134,maxbp
754000,84.90%,80.33%,0.0100,22.990315376019804,0.6977,25844440,maxbp
755000,81.30%,80.33%,0.0100,23.06979895967918,0.6260,25845893,maxbp
756000,84.40%,80.34%,0.0100,23.324349077126044,0.6885,25847254,maxbp
757000,80.90%,80.34%,0.0100,23.62936100108547,0.6174,25848606,maxbp
758000,81.70%,80.34%,0.0100,23.303894764360937,0.6340,25849916,maxbp
759000,82.20%,80.34%,0.0100,23.40712785679501,0.6437,25851392,maxbp
760000,81.70%,80.34%,0.0100,23.227385171942664,0.6341,25852802,maxbp
761000,80.60%,80.34%,0.0100,22.9576101579194,0.6120,25854148,maxbp
762000,83.70%,80.35%,0.0100,23.292717213589132,0.6742,25855673,maxbp
763000,83.60%,80.35%,0.0100,22.644146988474482,0.6720,25857190,maxbp
764000,81.90%,80.36%,0.0100,22.88292424339013,0.6383,25858659,maxbp
765000,82.90%,80.36%,0.0100,22.87274561639665,0.6581,25859775,maxbp
766000,81.50%,80.37%,0.0100,23.530105492476384,0.6296,25861250,maxbp
767000,83.40%,80.37%,0.0100,23.423912129591347,0.6680,25862501,maxbp
768000,82.20%,80.37%,0.0100,24.000083656602634,0.6443,25863987,maxbp
769000,81.00%,80.37%,0.0100,23.940095724150012,0.6203,25865461,maxbp
770000,80.40%,80.37%,0.0100,23.56851924668181,0.6080,25866986,maxbp
771000,82.40%,80.38%,0.0100,22.996217682256383,0.6475,25868514,maxbp
772000,83.20%,80.38%,0.0100,23.246136547077562,0.6644,25870011,maxbp
773000,81.00%,80.38%,0.0100,22.38588577045022,0.6196,25871577,maxbp
774000,82.70%,80.38%,0.0100,22.49346790835089,0.6540,25872902,maxbp
